Libellé,Classement des communes en zone de revitalisation rurale - ZRR 2018,Classement des communes en loi littoral,Classement des communes en zone de revitalisation des commerces en milieu rural - ZoRCoMiR,Communes des parcs naturels régionaux (PNR),"Communes éligibles au zonage d'aide à finalité régionale (AFR), période 2014-2021",Villes bénéficiaires du programme Action Coeur de Ville (ACV)
Baupte,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Beauchamps,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Beaucoudray,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Beauficel,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Beauvoir,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Belval,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Benoîtville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Bérigny,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Beslon,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Besneville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Beuvrigny,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Beuzeville-la-Bastille,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Biéville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Biniville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Blainville-sur-Mer,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Blosville,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Boisyvon,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Bourguenolles,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Bourgvallées,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Boutteville,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Brainville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Brécey,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
Bréhal,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Bretteville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Bretteville-sur-Ay,C - Classée en ZRR,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Breuville,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
